Gene Symbol,Report Type,Report PMID,Primary Disorder(s),Associated Disorder(s)
AGO4,Support,31398340,ASD,
AGTR2,Primary,12089445,ID,
AGTR2,Recent Recommendation,16769992,,
AGTR2,Support,22269148,"PDD, ID, Epilepsy",
AGTR2,Support,31771860,OCD,
AGTR2,Support,32193494,ASD,
AHDC1,Support,24791903,"DD, ID",
AHDC1,Primary,25363768,ASD,
AHDC1,Support,25574029,"ASD, DD",Congenital heart defects
AHDC1,Recent Recommendation,27148574,"DD, ID",ASD
AHDC1,Support,27479843,ID,
AHDC1,Support,27841880,DD,
AHDC1,Support,28554332,ID,
AHDC1,Support,29158550,ID,"Behavioral anomalies, microcephaly"
AHDC1,Recent Recommendation,29696776,Xia-Gibbs syndrome,ASD
AHDC1,Support,30152016,Xia-Gibbs syndrome,ASD
AHDC1,Support,30622101,Xia-Gibbs syndrome,
AHI1,Highly Cited,15322546,Joubert syndrome-3,
AHI1,Highly Cited,15467982,Joubert syndrome-3,
AHI1,Recent Recommendation,16244321,,
AHI1,Recent Recommendation,18636121,,
AHI1,Primary,18782849,Joubert syndrome-3,ASD
AHI1,Recent Recommendation,18785627,,
AHI1,Recent Recommendation,18950740,,
AHI1,Recent Recommendation,20071346,SCZ,
AHI1,Recent Recommendation,20081859,,
AHI1,Recent Recommendation,20592197,,
AHI1,Recent Recommendation,21959375,,
AHI1,Recent Recommendation,22123816,,
AHI1,Support,23352163,ASD,
AHI1,Recent Recommendation,23532844,,
AHI1,Support,24690944,"DD, ID, ASD",MCA
AHI1,Support,25363768,ASD,
AHI1,Support,25558065,DD,
AHI1,Support,28097321,Joubert syndrome,"ID, epilepsy/seizures"
AHI1,Support,31398340,ASD,
AKAP9,Support,25363760,ASD,
AKAP9,Support,25363768,ASD,
AKAP9,Primary,26402605,ASD,
AKAP9,Support,27479843,ID,
AKAP9,Support,31398340,ASD,
ALDH1A3,Primary,23312594,Isolated microphthalmia-8 (MCOP8),ASD
ALDH1A3,Support,23646827,Microphthalmia,"ASD, ID"
ALDH1A3,Recent Recommendation,24024553,Microphthalmia/coloboma,"ASD, ID"
ALDH1A3,Negative Association,24568872,Isolated microphthalmia-8 (MCOP8),Autistic features
ALDH1A3,Support,25533962,Unknown diagnosis,
ALDH5A1,Primary,12743223,SSADH deficiency,Autism
ALDH5A1,Recent Recommendation,15341910,,
ALDH5A1,Recent Recommendation,1650448,,
ALDH5A1,Support,25363760,ASD,
ALDH5A1,Support,25363768,ASD,
ALDH5A1,Support,27056292,SSADH deficiency,"DD, ASD, epilepsy"
ALDH5A1,Support,28097321,SSADH deficiency,"ID, hypotonia"
ALDH5A1,Support,30564305,ASD,
ALDH5A1,Support,32621952,SSADH deficiency,"ASD, ADHD, DD, ID, epilepsy/seizures"
ALDH5A1,Highly Cited,8689400,,
ALDH5A1,Support,9683595,SSADH deficiency,Autism
ALG6,Primary,27287710,"Congenital disorder of glycosylation, type Ic",ASD or autistic features
ALOX5AP,Recent Recommendation,16698924,,
ALOX5AP,Primary,16709250,ASD,
ALOX5AP,Highly Cited,2300173,,
ALOX5AP,Highly Cited,8522947,,
AMBRA1,Primary,24904333,,
AMBRA1,Recent Recommendation,28994820,ALTs,
AMBRA1,Support,29488136,,
AMBRA1,Positive association,31687209,ALTs,
AMPD1,Primary,24189344,ASD,
AMPD1,Recent Recommendation,25155876,ASD,
AMPD1,Support,25363760,ASD,
AMT,Primary,23352163,ASD,
ANK2,Primary,22542183,ASD,
ANK2,Recent Recommendation,24267886,ASD,
ANK2,Recent Recommendation,25363760,ASD,
ANK2,Support,25363768,ASD,
ANK2,Support,25533962,Unknown diagnosis,
ANK2,Support,25621899,ASD,
ANK2,Support,25961944,ASD,
ANK2,Recent Recommendation,26401017,ASD,
ANK2,Support,26402605,ASD,
ANK2,Support,27824329,ASD,
ANK2,Support,28263302,ASD,
ANK2,Support,28554332,"ASD, ID",
ANK2,Support,28831199,ASD,
ANK2,Support,30564305,ASD,
ANK2,Support,31452935,ASD,
ANK2,Support,31981491,ASD,
ANK2,Support,32094338,ASD,
ANK3,Positive Association,17486107,BPD,
ANK3,Positive Association,18711365,BPD,
ANK3,Positive Association,19088739,BPD,
ANK3,Positive Association,20185149,SCZ,
ANK3,Positive Association,21893642,SCZ,
ANK3,Positive Association,21926974,"SCZ, BPD",
ANK3,Support,22495306,ASD,
ANK3,Primary,22865819,ASD,
ANK3,Recent Recommendation,23390136,"ASD, ADHD, ID",Epilepsy
ANK3,Recent Recommendation,23730306,,
ANK3,Positive Association,23934111,Epilepsy,"IS, LGS, DD, ID, ASD, ADHD"
ANK3,Recent Recommendation,24821222,,
ANK3,Support,25363768,ASD,
ANK3,Recent Recommendation,25374361,,
ANK3,Support,25533962,Unknown diagnosis,
ANK3,Support,26055424,"ASD, ID",
ANK3,Support,26539891,ID,
ANK3,Support,26892727,,
ANK3,Support,27824329,ASD,
ANK3,Recent Recommendation,27956739,,
ANK3,Support,28344757,ASD,
ANK3,Positive Association,28472652,Tourette syndrome,
ANK3,Support,28687526,"ID, ADHD","Autistic features, macrocephaly"
ANK3,Recent Recommendation,30046097,,
ANK3,Support,30564305,ASD,
ANK3,Support,31452935,ASD,
ANKRD11,Highly Cited,15184363,,
ANKRD11,Recent Recommendation,17286281,,
ANKRD11,Primary,18252227,ASD,
ANKRD11,Recent Recommendation,18377363,,
ANKRD11,Recent Recommendation,18840648,,
ANKRD11,Support,19920853,ASD,
ANKRD11,Support,21654729,ID,ADHD
ANKRD11,Support,21782149,KBG syndrome,ID
ANKRD11,Support,24690944,"DD, ID, ASD",MCA
ANKRD11,Support,25125236,Cornelia de Lange syndrome,
ANKRD11,Support,25167861,ID,
ANKRD11,Support,25284784,,
ANKRD11,Support,25363768,ASD,
ANKRD11,Recent Recommendation,25424714,KBG syndrome,"ASD, ID, ADHD, epilepsy"
ANKRD11,Support,25473036,KBG syndrome,
ANKRD11,Support,25533962,"ASD, DD, ID",
ANKRD11,Recent Recommendation,25556659,,
ANKRD11,Support,25574603,ASD,
ANKRD11,Support,25652421,Cornelia de Lange syndrome,
ANKRD11,Recent Recommendation,26401017,ASD,
ANKRD11,Support,27435318,"DD, ID",
ANKRD11,Support,27479843,ID,
ANKRD11,Support,27605097,KBG syndrome,
ANKRD11,Support,27620904,KBG syndrome,"ID, autistic behavior, stereotypic behavior"
ANKRD11,Support,27667684,ASD,
ANKRD11,Support,27667800,KBG syndrome,
ANKRD11,Support,27824329,ASD,
ANKRD11,Support,27848944,DD,
ANKRD11,Support,27900361,KBG syndrome,"ASD, ID, epilepsy/seizures"
ANKRD11,Support,28250421,KBG syndrome,
ANKRD11,Support,28263302,ASD,
ANKRD11,Support,28333917,Psychomotor retardation,
ANKRD11,Support,28554332,"ASD, ID, epilepsy/seizures",
ANKRD11,Support,28771251,"ID, epilepsy/seizures",
ANKRD11,Support,29100083,Epilepsy/seizures,DD/ID
ANKRD11,Support,29158550,ID,Microcephaly
ANKRD11,Support,29286531,Epilepsy/seizures,Specific learning disability
ANKRD11,Support,29346770,ASD,
ANKRD11,Recent Recommendation,29995837,Cornelia de Lange syndrome,
ANKRD11,Support,30088855,KBG syndrome,
ANKRD11,Support,30945278,ID,
ANKRD11,Support,31209962,"ID, ASD or autistic traits",
ANKRD11,Support,31406558,ASD,
ANKRD11,Support,31981491,ASD,
ANKRD11,Support,32094338,ASD,
ANKRD11,Support,32760686,KBG syndrome,"ASD, DD, ID, epilepsy/seizures"
ANKS1B,Primary,25549968,ASD,
ANKS1B,Recent Recommendation,31388001,"ASD, ADHD, DD, ID",
ANKS1B,Support,31696658,ASD,
ANKS1B,Support,32530565,"ASD, DD",
ANXA1,Primary,24720851,ASD,
ANXA1,Support,25363760,ASD,
AP1S2,Highly Cited,17186471,ID,
AP1S2,Support,17617514,ID,
AP1S2,Primary,18428203,ID,ASD
AP1S2,Recent Recommendation,23756445,ID,Epilepsy/seizures
AP1S2,Support,25363768,ASD,
AP2S1,Primary,25363768,ASD,
AP2S1,Recent recommendation,31981491,ASD,
APBA2,Highly Cited,10336668,,
APBA2,Recent Recommendation,17989066,SCZ,
APBA2,Recent Recommendation,19420255,,
APBA2,Primary,20029827,ASD,
APBA2,Recent Recommendation,20843325,,
APBA2,Support,27525107,ASD,
APBA2,Recent Recommendation,30988517,ASD,
APBB1,Support,24853428,ASD,
APBB1,Primary,25363768,ASD,
APBB1,Recent Recommendation,29754769,ASD,
APC,Recent Recommendation,16407829,,
APC,Positive Association,17221838,ASD,
APC,Recent Recommendation,19450512,,
APC,Recent Recommendation,19525225,,
APC,Recent Recommendation,20720115,,
APC,Recent Recommendation,24934177,,
APC,Recent Recommendation,25036633,,
APC,Primary,8071957,ASD,adenomatous polyposis coli
APC,Highly Cited,9065402,,
APH1A,Primary,25363760,ASD,
APH1A,Support,26402605,ASD,
APH1A,Support,27824329,ASD,
APP,Support,16948926,,
APP,Support,21731612,,
APP,Primary,23840007,,
AR,Highly Cited,16272115,,
AR,Recent Recommendation,16603237,,
AR,Recent Recommendation,18467440,,
AR,Recent Recommendation,18799683,,
AR,Primary,19167832,ASD,
AR,Highly Cited,2062380,,
ARHGAP11B,Primary,22346768,ASD,ID
ARHGAP11B,Support,30886340,SCZ,
ARHGAP11B,Support,31883789,,
ARHGAP15,Highly Cited,12650940,,
ARHGAP15,Recent Recommendation,21551229,,
ARHGAP15,Primary,21572417,ASD,
ARHGAP15,Recent Recommendation,21593421,,
ARHGAP15,Support,23275889,ASD,
ARHGAP15,Support,25533962,Unknown diagnosis,
ARHGAP15,Recent Recommendation,26938441,,
ARHGAP24,Primary,23032108,ASD,DD/ID
ARHGAP32,Primary,25058499,Jacobsen syndrome,ASD/autistic features
ARHGAP32,Support,25363760,ASD,
ARHGAP32,Recent Recommendation,26979507,,
ARHGAP32,Support,27824329,ASD,
ARHGAP32,Support,30045817,,
ARHGAP32,Support,30257206,TS,
ARHGAP32,Support,30564305,ASD,
ARHGAP33,Primary,25869807,,
ARHGAP33,Support,27431290,"DD, epilepsy/seizures",
ARHGAP33,Support,31398340,ASD,
ARHGAP5,Support,25363760,ASD,
ARHGAP5,Primary,25363768,ASD,
ARHGAP5,Recent Recommendation,29346770,ASD,
ARHGAP5,Support,30257206,TS,
ARHGEF10,Support,25363760,ASD,
ARHGEF10,Support,28831199,ASD,
ARHGEF10,Primary,29456827,,
ARHGEF10,Support,31398340,ASD,
ARHGEF9,Support,15215304,Epilepsy/seizures,Hyperekplexia
ARHGEF9,Primary,25898924,"ASD, ID, epilepsy/seizures",
ARHGEF9,Support,26834553,ID,
ARHGEF9,Support,27238888,"ASD, ADHD, ID, DD",
ARHGEF9,Recent Recommendation,28589176,"ID, epilepsy/seizures",Autistic features
ARHGEF9,Support,28708303,ID,Macrocephaly
ARHGEF9,Support,29130122,"ID, epilepsy/seizures",
ARHGEF9,Support,30048823,"ASD, DD/ID",
ARHGEF9,Support,31031587,ASD,"ID, epilepsy/seizures"
ARHGEF9,Support,31231135,Epilepsy/seizures,
ARHGEF9,Support,32530565,"DD, epilepsy/seizures",
ARID1B,Primary,21448237,ASD,
ARID1B,Recent Recommendation,21801163,ASD or autistic traits,ID
ARID1B,Support,22405089,ID,Autistic features
ARID1B,Support,22426308,,
ARID1B,Support,22426309,Coffin-Siris syndrome,"ID, ASD"
ARID1B,Support,22495309,ASD,
ARID1B,Support,23160955,ASD,
ARID1B,Support,23275889,ASD,
ARID1B,Support,24569609,Coffin-Siris syndrome,"ID, autistic features"
ARID1B,Support,24674232,ID,
ARID1B,Support,25356899,"ID, epilepsy/seizures","Speech delay, hypotonia"
ARID1B,Recent Recommendation,25363760,ASD,
ARID1B,Support,25533962,"ASD, DD, ID",
ARID1B,Support,25961944,ASD,
ARID1B,Recent Recommendation,26401017,ASD,
ARID1B,Support,26402605,ASD,
ARID1B,Support,26637798,ASD,
ARID1B,Recent Recommendation,26749308,ASD,
ARID1B,Support,26845707,ASD,
ARID1B,Support,27479843,ID,
ARID1B,Support,27620904,Coffin-Siris syndrome,ID
ARID1B,Support,27667684,ASD,
ARID1B,Support,27824329,ASD,
ARID1B,Support,27848944,"DD, ID, epilepsy/seizures",ADHD
ARID1B,Support,28191889,"ASD, DD",
ARID1B,Support,28263302,ASD,
ARID1B,Support,28323383,"Hypertrichosis, hyperkeratosis, mental retardation",
ARID1B,Support,28539120,"ASD, DD",
ARID1B,Support,28554332,ID,Epilepsy/seizures
ARID1B,Support,28708303,ID,Coffin-Siris syndrome
ARID1B,Support,28714951,ASD,
ARID1B,Support,28940097,"ID, epilepsy/seizures",
ARID1B,Support,28965761,ASD,
ARID1B,Support,29100083,Epilepsy/seizures,DD/ID
ARID1B,Support,29286531,"DD, epilepsy/seizures, microcephaly",
ARID1B,Support,29805044,"ASD, ID",
ARID1B,Support,30055038,Coffin-Siris syndrome,"DD, ID, autistic behavior"
ARID1B,Support,30504930,ASD,
ARID1B,Support,30564305,ASD,
ARID1B,Support,31130284,"DD, ID","ADHD, OCD, epilepsy/seizures"
ARID1B,Support,31209962,"ID, ASD or autistic traits",
ARID1B,Support,31398340,ASD,
ARID1B,Support,31406558,ASD,
ARID1B,Support,31452935,ASD,
ARID1B,Support,31674007,ASD,Macrocephaly
ARID1B,Support,31981384,Coffin-Siris syndrome,
ARID1B,Support,31981491,ASD,
ARID1B,Support,32277047,ID,Marfanoid habitus
ARID1B,Support,32339967,Coffin-Siris syndrome,
ARID1B,Support,32530565,DD,
ARID2,Primary,25363768,ASD,
ARID2,Support,26238514,Coffin-Siris syndrome 6,"DD, ID, ADHD"
ARID2,Support,28124119,Coffin-Siris syndrome 6,
ARID2,Support,28884947,Coffin-Siris syndrome 6,
ARID2,Support,29698805,Coffin-Siris syndrome 6,
ARID2,Recent Recommendation,31038196,ASD,
ARID2,Support,32530565,"ID, epilepsy/seizures",
ARNT2,Highly Cited,11318878,,
ARNT2,Highly Cited,11381139,,
ARNT2,Recent Recommendation,19074369,,
ARNT2,Recent Recommendation,19234064,,
ARNT2,Primary,19598235,ASD,Asperger syndrome
ARNT2,Support,22209245,ASD,
ARNT2,Support,22495311,ASD,
ARNT2,Recent Recommendation,24465693,,
ARNT2,Positive Association,25745553,ASD,Asperger syndrome
ARNT2,Recent Recommendation,26938441,,
ARNT2,Highly Cited,9545558,,
ARX,Highly Cited,11971879,ID,
ARX,Highly Cited,12142061,,
ARX,Highly Cited,12376946,,
ARX,Highly Cited,12379852,X-linked lissencephaly with ambiguous genitalia,
ARX,Primary,14631200,ASD,
ARX,Recent Recommendation,16650978,,
ARX,Support,21624971,ASD,
ARX,Support,22922607,"DD, ID",
ARX,Support,23246292,,
ARX,Support,24643514,ASD,
ARX,Support,25363768,ASD,
ARX,Support,27864847,Epilepsy/seizures,
ARX,Support,28554332,ID,Epilepsy/seizures
ARX,Recent Recommendation,28627419,,
ARX,Support,29286531,Epilepsy/seizures,
ARX,Support,30945278,"ASD, DD",
ARX,Support,31031587,ASD,"ID, epilepsy/seizures"
ARX,Support,32383243,ID,"ASD, epilepsy/seizures"
ASAP2,Primary,25363760,ASD,
ASAP2,Support,27525107,ASD,
ASAP2,Recent Recommendation,30208311,"ASD, SCZ",
ASB14,Primary,25363768,ASD,
ASB14,Support,27525107,ASD,
ASB14,Support,28263302,ASD,
ASB14,Recent Recommendation,31332282,ASD,
ASH1L,Primary,24267886,ASD,
ASH1L,Recent Recommendation,25363760,ASD,
ASH1L,Recent Recommendation,25363768,ASD,
ASH1L,Support,26325558,ASD,
ASH1L,Recent Recommendation,26401017,ASD,
ASH1L,Recent Recommendation,26785492,Congenital heart disease (CHD),"ASD, DD, ID"
ASH1L,Support,27824329,ASD,
ASH1L,Recent Recommendation,28191889,"ASD, DD, ID",
ASH1L,Support,28263302,ASD,
ASH1L,Support,28394464,ID,"Microcephaly, dysmorphic features, MCA"
ASH1L,Support,29276005,"DD, ID","ASD, epilepsy/seizures"
ASH1L,Support,29753921,"DD, ID, ADHD",
ASH1L,Support,30564305,ASD,
ASH1L,Support,31209962,"ID, ASD or autistic traits",
ASH1L,Recent Recommendation,31673123,TS,
ASH1L,Support,31981491,ASD,
ASH1L,Support,32469098,"ASD, ADHD, ID, epilepsy/seizures",
ASMT,Highly Cited,14275158,,
ASMT,Recent Recommendation,17204557,,
ASMT,Primary,17505466,ASD,
ASMT,Positive Association,18925931,ASD,
ASMT,Support,23275889,ASD,
ASMT,Support,23349736,ASD,
ASMT,Support,23632794,ASD,ID
ASMT,Positive Association,23995775,ALTs,
ASMT,Highly Cited,487129,,
ASPM,Highly Cited,12355089,Autosomal recessive primary microcephaly-5 (MCPH5),
ASPM,Support,14574646,Autosomal recessive primary microcephaly-5 (MCPH5),
ASPM,Primary,25363768,ASD,
ASPM,Support,25961944,ASD,
ASPM,Recent Recommendation,28831199,ASD,
ASPM,Support,30842647,Microcephaly,"DD, epilepsy/seizures"
ASPM,Support,31398340,ASD,
ASPM,Support,32066665,,
ASS1,Recent Recommendation,16580861,,
ASS1,Primary,16709250,ASD,
ASS1,Highly Cited,7507106,,
ASTN2,Recent Recommendation,18839057,,
ASTN2,Recent Recommendation,18940311,SCZ,
ASTN2,Primary,19404257,ASD,
ASTN2,Recent Recommendation,20573900,,
ASTN2,Recent Recommendation,22683712,,
ASTN2,Support,23275889,ASD,
ASTN2,Support,23879678,ASD,
ASTN2,Recent Recommendation,24381304,ASD,"ADHD, DD, ID, epilepsy, OCD"
ASTN2,Positive Association,28098162,Hippocampal volume,
ASTN2,Positive Association,28540026,ASD,
ASTN2,Support,28940097,DD,Dysmorphic features
ASTN2,Recent recommendation,30242134,ADHD,"ASD, ID, epilepsy/seizures"
ASTN2,Support,32094338,ASD,
ASTN2,Highly Cited,3276720,,
ASXL3,Recent Recommendation,23383720,DD,ID
ASXL3,Primary,24044690,ASD,DD
ASXL3,Recent Recommendation,25363760,ASD,
ASXL3,Recent Recommendation,26401017,ASD,
ASXL3,Support,26647312,Bainbridge-Ropers syndrome,"DD, ID"
ASXL3,Support,27075689,Bainbridge-Ropers syndrome,"ASD, DD"
ASXL3,Support,27901041,Bainbridge-Ropers syndrome,ID
ASXL3,Recent Recommendation,28100473,Bainbridge-Ropers syndrome,"ID, ASD or autistic features"
ASXL3,Support,28263302,ASD,
ASXL3,Support,28333917,Psychomotor retardation,
ASXL3,Support,28431838,Bainbridge-Ropers syndrome,"DD, microcephaly"
ASXL3,Support,28554332,"ASD, ID, epilepsy/seizures",
ASXL3,Support,28785287,Bainbridge-Ropers syndrome,"ASD, DD"
